url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/jake-stewart,Jake  Stewart,Great Britain, 66 kg   , 1.79 m,499,402,28,348,115,660
https://www.procyclingstats.com/rider/luca-colnaghi,Luca  Colnaghi,Italy, 63 kg   , 1.71 m,165,13,0,395,60,288
https://www.procyclingstats.com/rider/jurgen-van-de-walle,Jurgen Van De Walle,Belgium, 74 kg   , 1.89 m,642,701,148,0,156,6
https://www.procyclingstats.com/rider/james-piccoli,James  Piccoli,Canada, 65 kg   , 1.78 m,88,745,297,16,366,298
https://www.procyclingstats.com/rider/tiesj-benoot,Tiesj  Benoot,Belgium, 72 kg   , 1.90 m,4887,1912,83,376,2621,2866
https://www.procyclingstats.com/rider/thibault-guernalec,Thibault  Guernalec,France, 71 kg   , 1.85 m,56,440,797,28,39,126
https://www.procyclingstats.com/rider/liam-walsh,Liam  Walsh,Australia, 80 kg   , 1.82 m,211,10,5,54,0,0
https://www.procyclingstats.com/rider/enrico-battaglin,Enrico  Battaglin,Italy, 64 kg   , 1.75 m,1053,441,29,184,931,1546
https://www.procyclingstats.com/rider/harry-tanfield,Harry  Tanfield,Great Britain, 79.5 kg   , 1.90 m,75,10,223,120,5,10
https://www.procyclingstats.com/rider/roman-kireyev,Roman  Kireyev,Kazakhstan, 66 kg   , 1.77 m,38,48,91,0,16,6
https://www.procyclingstats.com/rider/ibai-azurmendi-sagastibel,Ibai  Azurmendi,Spain,,,14,50,0,8,21,42
https://www.procyclingstats.com/rider/cameron-bayley,Cameron  Bayly,Australia,,,59,239,224,10,118,49
https://www.procyclingstats.com/rider/simone-sterbini,Simone  Sterbini,Italy, 67 kg   , 1.92 m,10,25,35,10,82,26
https://www.procyclingstats.com/rider/marcos-garcia-fernandez,Marcos  García,Spain, 55 kg   , 1.69 m,289,844,0,10,386,111
https://www.procyclingstats.com/rider/eduard-michael-grosu,Eduard-Michael  Grosu,Romania, 68 kg   , 1.73 m,552,341,447,1518,95,631
https://www.procyclingstats.com/rider/jimmy-engoulvent,Jimmy  Engoulvent,France, 82 kg   , 1.87 m,594,720,1275,60,22,95
https://www.procyclingstats.com/rider/ryan-roth,Ryan  Roth,Canada, 70 kg   , 1.75 m,443,99,489,89,13,38
https://www.procyclingstats.com/rider/emil-vinjebo,Emil Mielke  Vinjebo,Denmark, 67 kg   , 1.81 m,160,134,67,111,10,42
https://www.procyclingstats.com/rider/lars-boven,Lars  Boven,Netherlands, 62 kg   , 1.72 m,124,50,106,192,50,112
https://www.procyclingstats.com/rider/jean-marc-marino,Jean-Marc  Marino,France, 65 kg   , 1.77 m,200,355,0,2,40,54
https://www.procyclingstats.com/rider/andrew-august,Andrew  August,United States, 57 kg   , 1.70 m,10,26,2,0,17,9
https://www.procyclingstats.com/rider/alexandr-pliuschin,Alexandr  Pliușchin,Moldova, 66 kg   , 1.80 m,113,158,99,0,42,9
https://www.procyclingstats.com/rider/andre-steensen,André  Steensen,Denmark, 65 kg   , 1.85 m,136,167,274,238,16,0
https://www.procyclingstats.com/rider/giulio-masotto,Giulio  Masotto,Italy,, 1.85 m,6,0,13,29,0,5
https://www.procyclingstats.com/rider/john-lee-augustyn,John-Lee  Augustyn,South Africa, 65 kg   , 1.78 m,146,196,60,0,70,36
https://www.procyclingstats.com/rider/mark-renshaw,Mark  Renshaw,Australia, 74 kg   , 1.79 m,1363,555,301,896,14,155
https://www.procyclingstats.com/rider/edoardo-zambanini,Edoardo  Zambanini,Italy, 62 kg   , 1.81 m,310,419,26,61,363,388
https://www.procyclingstats.com/rider/pablo-lastras,Pablo  Lastras,Spain, 68 kg   , 1.83 m,1258,1531,266,992,839,974
https://www.procyclingstats.com/rider/william-clarke,Will  Clarke,Australia, 81 kg   , 1.92 m,127,176,678,16,7,5
https://www.procyclingstats.com/rider/onur-balkan,Onur  Balkan,Türkiye, 69 kg   , 1.77 m,269,253,155,630,52,134
https://www.procyclingstats.com/rider/ludwig-de-winter,Ludwig De Winter,Belgium, 83 kg   , 1.87 m,90,5,0,20,1,0
https://www.procyclingstats.com/rider/artur-gajek,Artur  Gajek,Germany, 74 kg   , 1.89 m,168,11,12,0,3,0
https://www.procyclingstats.com/rider/steven-kruijswijk,Steven  Kruijswijk,Netherlands, 63 kg   , 1.78 m,344,4454,1440,16,3977,1318
https://www.procyclingstats.com/rider/nicola-ruffoni,Nicola  Ruffoni,Italy, 70 kg   , 1.73 m,307,15,42,166,0,52
https://www.procyclingstats.com/rider/ramunas-navardauskas,Ramūnas  Navardauskas,Lithuania, 79 kg   , 1.90 m,1113,1025,1203,368,304,1050
https://www.procyclingstats.com/rider/roy-jans,Roy  Jans,Belgium, 68 kg   , 1.78 m,1736,40,8,859,12,81
https://www.procyclingstats.com/rider/jakub-murias,Jakub  Murias,Poland, 65 kg   , 1.76 m,15,57,2,162,6,59
